f1,f2,f3,f4,f5,f6,f7,f8,f9,resp
  0.15979559,  0.14077052,  0.15055511,  0.15335060,  0.16298994,  0.13458865,  0.14241590,  0.14390052,  0.15680049,  0.00016603
  0.18369508,  0.15698858,  0.17528275,  0.19038057,  0.22125734,  0.15064563,  0.17682478,  0.18399491,  0.22981764, -0.00104671
  0.34617205,  0.26745806,  0.30976238,  0.37368887,  0.50311630,  0.25149773,  0.31210860,  0.34667933,  0.51953126, -0.00438861
  0.15422809,  0.16470061,  0.16557879,  0.16855044,  0.17064896,  0.17830610,  0.18066501,  0.18073110,  0.19149150,  0.00077801
  0.15143347,  0.13710239,  0.14261171,  0.15763656,  0.17681427,  0.12950652,  0.15069096,  0.15729921,  0.18555399,  0.00001024
  0.21818412,  0.19028714,  0.20496923,  0.26391840,  0.27031272,  0.17758179,  0.23049489,  0.24243653,  0.34915762,  0.00144744
  0.16641585,  0.14546798,  0.16259367,  0.17734455,  0.18650679,  0.15509916,  0.16000410,  0.17181472,  0.18089898, -0.00096098
  0.25381529,  0.21975211,  0.22641769,  0.27925122,  0.27968992,  0.20309727,  0.23898769,  0.24585392,  0.32465825,  0.00157001
  0.35404722,  0.28190836,  0.31670154,  0.31883211,  0.53043869,  0.26351031,  0.30458795,  0.38408741,  0.43211570, -0.00637961
  0.13742047,  0.12370649,  0.13476330,  0.15156073,  0.15570620,  0.12164118,  0.13776980,  0.14886887,  0.17254719, -0.00007670
  0.19445356,  0.17003925,  0.18781702,  0.19189545,  0.23640002,  0.16642205,  0.19143710,  0.20160510,  0.22293845, -0.00126304
  0.33658587,  0.25501324,  0.31906893,  0.35174001,  0.47442404,  0.24943553,  0.32647848,  0.34207085,  0.45706910, -0.00543556
  0.22871561,  0.19131653,  0.19284726,  0.24231263,  0.26412452,  0.16636632,  0.19846074,  0.21843385,  0.26800218, -0.00192546
  0.35116268,  0.29704864,  0.29847557,  0.30334385,  0.52154829,  0.25149855,  0.26686315,  0.40476538,  0.41361881, -0.00717939
  0.18298268,  0.16630421,  0.17197014,  0.18049014,  0.21953169,  0.15711874,  0.16597378,  0.19727702,  0.21395381, -0.00109972
  0.15228286,  0.13406921,  0.13866158,  0.14043463,  0.15016030,  0.12326400,  0.12484346,  0.13739115,  0.13876768,  0.00056619
  0.17017708,  0.15123610,  0.16127963,  0.16943458,  0.19501811,  0.14911130,  0.16117716,  0.17040054,  0.18575490, -0.00059488
  0.28396829,  0.23302810,  0.23306856,  0.24756042,  0.35156824,  0.20128468,  0.20425825,  0.28435725,  0.28439178, -0.00265245
  0.18540785,  0.16396174,  0.19498624,  0.19952051,  0.21293277,  0.16915800,  0.17476028,  0.22462552,  0.22578195, -0.00072118
  0.36994179,  0.31504070,  0.32435918,  0.32709273,  0.56551362,  0.29423854,  0.30958267,  0.42616518,  0.45975680, -0.00386098
  0.23872604,  0.19753859,  0.23291048,  0.24465604,  0.28597820,  0.20106852,  0.23146289,  0.23215295,  0.27408269, -0.00292322
  0.37029425,  0.30232323,  0.31224240,  0.32217190,  0.56688410,  0.26313511,  0.26598475,  0.41527756,  0.43885827, -0.00724622
  0.23846526,  0.19902755,  0.21906184,  0.23093643,  0.27041154,  0.19146763,  0.21996944,  0.22196258,  0.24492671, -0.00050186
