f1,f2,f3,resp
  0.97122362,  1.02816874,  0.65400342,  2.67554915
  0.98783969,  1.05501258,  0.64737992,  1.47511007
  1.00000700,  1.02411064,  0.63770792,  0.81380375
  1.02260990,  1.04243764,  0.64624531,  0.13336706
  0.99256962,  1.07506074,  0.64888168,  1.82444401
  1.03408660,  1.06312518,  0.63459951,  0.79120012
  0.96481233,  1.01716258,  0.60448090,  3.43002067
  1.00521000,  1.04561386,  0.64366757,  0.58282546
  0.98529157,  0.98723505,  0.62556966,  2.65554643
  1.01321947,  1.02144003,  0.66483173,  0.88096051
  0.96683374,  1.03457337,  0.60461393,  3.33572998
  1.02552322,  1.03376803,  0.64600109,  0.08237543
  1.01388310,  1.02526142,  0.65410352,  0.48264215
  1.02346184,  1.02762777,  0.64518210,  0.15174209
  1.01742338,  1.04279310,  0.65517404,  0.28002282
  1.03223888,  1.05835001,  0.67726129,  0.64649121
  0.97729738,  1.02096761,  0.62679538,  2.01280182
  1.00660230,  1.03922665,  0.64219394,  0.50111959
  0.95948019,  0.98201151,  0.61919313,  4.60879131
  0.99544584,  1.02503652,  0.63937801,  0.99042958
  0.95931635,  1.02131275,  0.65346152,  3.77343714
  1.02894526,  1.06062309,  0.65642426,  0.32331033
  1.00279378,  1.02492936,  0.64712186,  0.75146336
  1.02117196,  1.03611052,  0.64556487,  0.14058938
  1.00531106,  1.06125005,  0.64618268,  0.85447047
  1.05564517,  1.06021153,  0.63097096,  1.30218089
  0.99705967,  1.02559369,  0.60700754,  1.88685675
  1.00258466,  1.01880407,  0.60325638,  2.03121275
  0.96485143,  0.99030982,  0.62137158,  3.78296267
  1.00256959,  1.01992734,  0.65342309,  0.97612771
  0.97315077,  1.01668688,  0.60290177,  3.05339410
  1.01720190,  1.07534398,  0.65663460,  0.98533396
  1.00294062,  1.04579647,  0.64652985,  0.66676797
  1.02232345,  1.03684964,  0.62865563,  0.43844600
  0.99563216,  1.06289919,  0.64948729,  1.27839353
  1.05134341,  1.06013173,  0.67116526,  0.46217500
  1.00842336,  1.01766048,  0.65121380,  0.75875947
  0.98917350,  1.00976034,  0.64105030,  1.64499250
  0.95295999,  1.00547784,  0.63139923,  4.19876726
  1.00992963,  1.02230151,  0.64275490,  0.51306698
  0.99190113,  1.03003691,  0.63260950,  1.12285588
  1.00328375,  1.05614688,  0.65979512,  0.94343543
  0.99985202,  1.03475750,  0.65964758,  1.02079117
  1.03274845,  1.06113631,  0.65320882,  0.30704279
  0.99265928,  1.04842464,  0.64806714,  1.14307918
  1.04994813,  1.06243054,  0.65293714,  0.43605745
  1.01758488,  1.03553222,  0.62394943,  0.65532566
  0.98879009,  1.02820045,  0.61798548,  1.59228275
  0.96079754,  1.02333930,  0.60669009,  3.54712245
  1.01028776,  1.01507282,  0.66327248,  1.10802803
  0.97637085,  1.04066611,  0.61210449,  2.50642651
  1.01326362,  1.05102296,  0.64585089,  0.41212112
  1.01173921,  1.03236996,  0.63828796,  0.37963761
  1.03205778,  1.07134516,  0.64790926,  0.70104163
  0.99812154,  1.01067577,  0.64235317,  1.20633974
  1.03033937,  1.05034294,  0.68393886,  0.87822564
  1.01867953,  1.02428372,  0.66448671,  0.63679820
  0.97395356,  1.03732503,  0.62768138,  2.12542933
  0.96214813,  1.02881505,  0.63805378,  2.99398832
  1.01830401,  1.02876637,  0.66106393,  0.46356192
  0.98497034,  1.05565743,  0.62366808,  1.93458515
  1.00641894,  1.03354473,  0.65015152,  0.56092628
  1.04691980,  1.05571984,  0.63823133,  0.56295382
  1.04309767,  1.04769418,  0.65336588,  0.06683078
  1.00158651,  1.01956338,  0.63522353,  0.83020369
  1.01886427,  1.06100683,  0.66746005,  0.67634250
  1.02667191,  1.03424381,  0.62989507,  0.35594544
  0.99164047,  1.05362087,  0.63004866,  1.40021254
  0.99303683,  1.04095426,  0.63651536,  1.04861404
  1.02682372,  1.03146377,  0.66069181,  0.23562348
  0.98099999,  1.05186759,  0.60783253,  2.82554934
  1.01129209,  1.01579562,  0.65386615,  0.76881537
  1.03687006,  1.03884555,  0.64264213,  0.06300805
  1.02184918,  1.03925689,  0.64336816,  0.14455291
  0.99348769,  1.02879494,  0.61807791,  1.41160107
  1.01948335,  1.04780725,  0.64961809,  0.22814288
  1.00386992,  1.01070948,  0.64667618,  1.03571904
  0.99056879,  1.04709301,  0.64387479,  1.20307927
  1.01930461,  1.04175891,  0.63691468,  0.28412547
  1.02723086,  1.02786121,  0.64706826,  0.10311397
  0.98500526,  1.03696145,  0.62662767,  1.53498302
  1.00169085,  1.00649896,  0.63896049,  1.15875875
  1.04649909,  1.04848180,  0.65972504,  0.11191899
  1.01762527,  1.02240498,  0.67154838,  0.97655417
  1.01038065,  1.04224642,  0.65037351,  0.41897791
  1.03219627,  1.04013464,  0.69409547,  1.41340999
  1.02065291,  1.02209984,  0.63767905,  0.29301840
  0.98348241,  1.04203572,  0.64289746,  1.54024117
  1.02923225,  1.03427697,  0.65541064,  0.08573549
  1.02861927,  1.03177879,  0.66767664,  0.38782968
  0.99530019,  1.01411033,  0.61962245,  1.40495042
  0.99733313,  1.01435721,  0.63821871,  1.10337951
  1.03714751,  1.03973341,  0.65998324,  0.06332444
  1.02640425,  1.03169789,  0.62141637,  0.70884847
  1.03208973,  1.04577897,  0.65685889,  0.07387036
  1.03530172,  1.05325244,  0.63390237,  0.51765106
  1.01690296,  1.01938566,  0.66407985,  0.79161785
  1.00406042,  1.01990758,  0.65289280,  0.90318356
  1.03962100,  1.05538669,  0.65599967,  0.16439675
  1.03036167,  1.03945998,  0.63454072,  0.23882365
  0.99901397,  1.01581626,  0.62865603,  1.04763575
  0.99225348,  1.01389338,  0.63414316,  1.32792620
  1.02046543,  1.04978611,  0.65270360,  0.24161431
  1.03042218,  1.03488065,  0.69020067,  1.30038935
  1.02605250,  1.08335906,  0.67717645,  1.45273956
  1.04758114,  1.06520889,  0.68052302,  0.77626208
  1.01930877,  1.02296244,  0.62603805,  0.54631969
  1.01598139,  1.01836831,  0.63396265,  0.46895373
  1.02899926,  1.06874373,  0.67884377,  0.95573204
  1.00839895,  1.02511322,  0.67617504,  1.45802105
  0.98642093,  1.03804648,  0.62577048,  1.49375637
  0.99162179,  1.00139193,  0.63252507,  1.73287219
  1.01570586,  1.05153245,  0.64933378,  0.35618277
  1.02058104,  1.05901241,  0.59839606,  3.59199612
  1.01737162,  1.08351636,  0.66300819,  1.37836945
  1.04113851,  1.06840575,  0.62184801,  1.92574687
  1.02206746,  1.03344219,  0.64461732,  0.13393401
  1.02194630,  1.03020457,  0.63683356,  0.21724117
  1.03594845,  1.07275304,  0.65103361,  0.70519518
  1.01762320,  1.02388310,  0.62457295,  0.61005038
  0.97751137,  1.05350210,  0.66146359,  2.39563383
  1.00497462,  1.00775163,  0.62468844,  1.10143210
  1.02827129,  1.04736718,  0.64937258,  0.09770616
